Temps(ms);Tension(V);Vitesse(RPM);Courant(A)
0;10.29;0.00;1.10
500;10.00;408.00;1.13
1000;10.09;336.00;1.11
1500;10.31;390.00;1.14
2000;10.09;378.00;1.13
2500;9.96;390.00;1.15
3000;10.12;348.00;1.12
3500;10.12;372.00;1.12
4000;10.31;396.00;1.16
4500;10.19;390.00;1.16
5000;10.31;360.00;1.15
5500;10.19;354.00;1.14
6000;9.97;390.00;1.15
6500;10.12;390.00;1.16
7000;10.31;372.00;1.16
7500;10.01;348.00;1.14
8000;9.93;390.00;1.16
8500;10.27;396.00;1.16
9000;10.31;372.00;1.15
9500;10.25;336.00;1.13
10000;10.03;360.00;1.15
10500;10.12;228.00;1.18
11000;10.42;0.00;1.17
11500;10.31;240.00;1.15
12000;10.24;342.00;1.14
12500;10.05;270.00;1.14
13000;9.99;102.00;1.15
13500;9.93;114.00;1.16
14000;10.12;228.00;1.16
14500;10.31;282.00;1.16
15000;10.31;270.00;1.14
15500;10.03;240.00;1.14
16000;9.89;258.00;1.17
16500;10.30;300.00;1.15
17000;9.99;282.00;1.15
17500;10.25;240.00;1.15
18000;9.97;264.00;1.16
18500;10.00;300.00;1.16
19000;10.17;276.00;1.16
19500;10.45;240.00;1.19
20000;10.30;276.00;1.21
20500;9.97;300.00;1.18
21000;10.31;264.00;1.19
21500;9.94;240.00;1.19
22000;10.03;282.00;1.19
22500;10.00;312.00;1.18
23000;10.08;252.00;1.21
23500;9.98;246.00;1.19
24000;10.31;300.00;1.18
24500;9.90;312.00;1.20
25000;10.31;264.00;1.20
25500;10.07;258.00;1.22
26000;9.89;312.00;1.20
26500;10.31;324.00;1.20
27000;9.86;252.00;1.21
27500;10.10;264.00;1.21
28000;10.31;318.00;1.19
28500;9.90;300.00;1.22
29000;10.20;252.00;1.19
29500;10.31;276.00;1.20
30000;10.42;318.00;1.20
30500;10.31;288.00;1.20
31000;10.18;252.00;1.18
31500;9.97;294.00;1.20
32000;9.86;318.00;1.21
32500;9.89;270.00;1.22
33000;10.31;252.00;1.20
33500;9.89;306.00;1.20
34000;10.31;318.00;1.20
34500;10.31;258.00;1.22
35000;9.86;258.00;1.22
35500;10.01;318.00;1.20
36000;10.31;306.00;1.21
36500;10.05;252.00;1.20
37000;9.81;270.00;1.23
37500;10.46;318.00;1.19
38000;10.28;294.00;1.20
38500;10.31;252.00;1.22
39000;10.29;282.00;1.21
39500;10.42;318.00;1.22
40000;10.31;282.00;1.19
40500;10.31;252.00;1.22
41000;10.25;300.00;1.19
41500;10.12;318.00;1.20
42000;10.11;264.00;1.23
42500;9.90;258.00;1.20
43000;10.43;312.00;1.20
43500;10.31;312.00;1.20
44000;9.86;252.00;1.22
44500;10.42;270.00;1.20
45000;10.04;324.00;1.20
45500;10.24;288.00;1.22
46000;10.25;252.00;1.19
46500;10.00;294.00;1.19
47000;10.31;312.00;1.20
47500;10.25;276.00;1.23
48000;10.23;252.00;1.23
48500;10.11;306.00;1.23
49000;10.42;318.00;1.22
49500;10.31;258.00;1.22
50000;9.90;258.00;1.22
50500;9.89;318.00;1.22
51000;9.91;306.00;1.21
51500;9.94;252.00;1.22
52000;9.99;270.00;1.20
52500;10.31;324.00;1.20
53000;10.19;288.00;1.20
53500;9.88;252.00;1.22
54000;10.43;294.00;1.23
54500;9.89;312.00;1.22
55000;10.29;276.00;1.19
55500;10.18;252.00;1.19
56000;9.95;300.00;1.23
56500;10.26;318.00;1.20
57000;10.05;258.00;1.21
57500;9.95;264.00;1.20
58000;9.92;324.00;1.20
58500;9.90;294.00;1.22
59000;10.31;252.00;1.23
59500;10.44;282.00;1.20
60000;10.13;318.00;1.20
60500;10.12;282.00;1.22
61000;10.31;252.00;1.21
61500;9.96;306.00;1.20
62000;10.25;318.00;1.19
62500;10.31;258.00;1.22
63000;10.08;264.00;1.20
63500;10.13;318.00;1.23
64000;10.31;300.00;1.19
64500;10.04;252.00;1.22
65000;10.44;288.00;1.22
65500;10.50;318.00;1.20
66000;10.25;276.00;1.19
66500;9.89;252.00;1.22
67000;10.31;306.00;1.20
67500;10.21;324.00;1.23
68000;9.91;252.00;1.23
68500;9.92;270.00;1.21
69000;9.90;318.00;1.21
69500;10.03;294.00;1.22
70000;9.92;252.00;1.22
70500;9.93;294.00;1.21
71000;9.86;318.00;1.21
71500;9.98;270.00;1.20
72000;10.27;258.00;1.19
72500;10.30;306.00;1.22
73000;10.10;312.00;1.20
73500;10.31;252.00;1.22
74000;10.12;276.00;1.19
74500;10.11;312.00;1.20
75000;10.31;294.00;1.22
75500;10.31;252.00;1.22
76000;9.94;288.00;1.20
76500;10.24;318.00;1.18
77000;10.31;276.00;1.21
77500;10.31;252.00;1.21
78000;10.06;306.00;1.22
78500;10.11;330.00;1.19
79000;10.43;252.00;1.20
79500;10.23;258.00;1.23
80000;10.13;318.00;1.24
80500;9.94;300.00;1.19
81000;10.09;252.00;1.23
81500;9.89;282.00;1.20
82000;10.25;312.00;1.23
82500;9.86;288.00;1.23
83000;9.89;246.00;1.22
83500;10.29;294.00;1.21
84000;10.41;318.00;1.21
84500;9.87;264.00;1.22
85000;9.89;246.00;1.22
85500;9.90;306.00;1.20
86000;10.30;318.00;1.20
86500;10.10;252.00;1.22
87000;9.90;258.00;1.21
87500;10.12;318.00;1.22
88000;9.92;306.00;1.22
88500;9.98;252.00;1.23
89000;10.07;270.00;1.19
89500;10.22;318.00;1.22
90000;10.11;288.00;1.23
90500;10.41;252.00;1.21
91000;10.31;288.00;1.20
91500;9.88;318.00;1.21
92000;10.13;276.00;1.21
92500;10.31;252.00;1.21
93000;9.89;306.00;1.22
93500;10.31;318.00;1.19
94000;10.03;258.00;1.21
94500;10.31;252.00;1.21
95000;9.99;312.00;1.17
95500;9.94;300.00;1.20
96000;10.30;252.00;1.20
96500;10.43;282.00;1.22
97000;9.88;306.00;1.23
97500;10.01;288.00;1.21
98000;10.03;246.00;1.20
98500;9.92;300.00;1.22
99000;9.87;318.00;1.23
99500;10.24;264.00;1.19
100000;10.12;258.00;1.25
