Temps(ms);Tension(V)
0;9,13
100;9,46
200;9,17
300;9,63
400;9,34
500;9,63
600;9,61
700;9,64
800;9,22
900;9,67
1000;9,27
1100;9,63
1200;9,65
1300;9,26
1400;9,67
1500;9,28
1600;9,23
1700;9,4
1800;9,55
1900;9,6
2000;9,6
2100;9,32
2200;9,34
2300;9,37
2400;9,24
2500;9,63
2600;9,71
2700;9,72
2800;9,67
2900;9,55
3000;9,44
3100;9,67
3200;9,63
3300;9,61
3400;9,72
3500;9,68
3600;9,67
3700;9,59
3800;9,26
3900;9,34
4000;9,55
4100;9,51
4200;9,34
4300;9,71
4400;9,24
4500;9,6
4600;9,73
4700;9,67
4800;9,63
4900;9,61
5000;9,65
5100;9,31
5200;9,34
5300;9,48
5400;9,57
5500;9,73
5600;9,67
5700;9,31
5800;9,36
5900;9,26
6000;9,62
6100;9,76
6200;9,57
6300;9,27
6400;9,28
6500;9,35
6600;9,35
6700;9,71
6800;9,31
6900;9,64
7000;9,61
7100;9,31
7200;9,46
7300;9,53
7400;9,68
7500;9,22
7600;9,73
7700;9,71
7800;9,31
7900;9,3
8000;9,6
8100;9,53
8200;9,28
8300;9,23
8400;9,22
8500;9,35
8600;9,44
8700;9,73
8800;9,69
8900;9,63
9000;9,59
9100;9,61
9200;9,63
9300;9,63
9400;9,36
9500;9,49
9600;9,74
9700;9,6
9800;9,29
9900;9,58
10000;9,69
10100;9,74
10200;9,73
10300;9,61
10400;9,54
10500;9,34
10600;9,35
10700;9,42
10800;9,62
10900;9,67
11000;9,73
11100;9,61
11200;9,55
11300;9,69
11400;9,25
11500;9,67
11600;9,34
11700;9,22
11800;9,51
11900;9,63
12000;9,68
12100;9,24
12200;9,68
12300;9,32
12400;9,61
12500;9,28
12600;9,63
12700;9,71
12800;9,68
12900;9,72
13000;9,31
13100;9,32
13200;9,45
13300;9,73
13400;9,67
13500;9,3
13600;9,67
13700;9,75
13800;9,55
13900;9,34
14000;9,74
14100;9,3
14200;9,67
14300;9,47
14400;9,73
14500;9,28
14600;9,4
14700;9,72
14800;9,84
14900;9,66
15000;9,55
15100;9,32
15200;9,33
15300;9,7
15400;9,28
15500;9,63
15600;9,53
15700;9,6
15800;9,38
15900;9,31
16000;9,61
16100;9,35
16200;9,7
16300;9,24
16400;9,56
16500;9,66
16600;9,72
16700;9,32
16800;9,63
16900;9,73
17000;9,71
17100;9,42
17200;9,26
17300;9,61
17400;9,65
17500;9,5
17600;9,24
