Temps(ms);Tension(V);Courant(A)
0;10.26;0.405
500;10.18;0.408
1000;10.26;0.163
1500;10.18;0.163
2000;10.27;0.163
2500;9.86;0.163
3000;9.88;0.163
3500;9.94;0.162
4000;10.31;0.163
4500;9.85;0.162
5000;9.93;0.162
5500;10.26;0.163
6000;9.96;0.162
6500;10.31;0.163
7000;10.00;0.163
7500;10.11;0.163
8000;10.13;0.162
8500;9.86;0.163
9000;9.97;0.163
9500;9.87;0.163
10000;10.07;0.162
10500;9.98;0.163
11000;10.28;0.162
11500;10.06;0.163
12000;10.31;0.162
12500;9.96;0.162
13000;10.00;0.161
13500;9.76;0.163
14000;9.92;0.163
14500;9.78;0.161
15000;10.03;0.162
15500;10.15;0.162
16000;10.28;0.163
16500;10.00;0.163
17000;10.25;0.164
17500;10.00;0.163
18000;10.23;0.163
18500;9.81;0.162
19000;9.65;0.163
19500;9.48;0.162
20000;9.48;0.162
20500;9.86;0.162
21000;9.98;0.163
21500;10.06;0.163
22000;10.30;0.163
22500;9.90;0.163
23000;10.31;0.164
23500;9.98;0.161
24000;9.71;0.162
24500;9.91;0.162
25000;9.48;0.162
25500;10.02;0.164
26000;10.21;0.163
26500;10.23;0.162
27000;10.17;0.162
27500;10.00;0.163
28000;10.13;0.163
28500;9.78;0.162
29000;9.80;0.163
29500;9.63;0.161
30000;9.48;0.162
30500;9.84;0.163
31000;10.12;0.163
31500;9.94;0.160
32000;10.09;0.163
32500;9.86;0.162
33000;10.06;0.163
33500;9.90;0.163
34000;9.55;0.163
34500;9.42;0.162
35000;9.48;0.162
35500;9.94;0.163
36000;10.12;0.163
36500;10.21;0.163
37000;10.29;0.164
37500;10.06;0.163
38000;10.12;0.164
38500;9.50;0.162
39000;9.59;0.163
39500;9.46;0.164
40000;9.75;0.163
40500;9.69;0.163
41000;9.91;0.163
41500;9.99;0.163
42000;9.85;0.163
42500;10.21;0.163
43000;10.00;0.163
43500;9.72;0.163
44000;9.85;0.163
44500;9.48;0.162
45000;9.92;0.162
45500;9.53;0.163
46000;9.92;0.163
46500;10.03;0.163
47000;10.07;0.163
47500;10.12;0.164
48000;10.29;0.162
48500;9.73;0.162
49000;9.73;0.162
49500;9.66;0.163
50000;9.63;0.163
50500;9.88;0.163
51000;9.91;0.162
51500;10.13;0.162
52000;10.06;0.163
52500;10.29;0.164
53000;9.84;0.162
53500;9.86;0.164
54000;9.86;0.162
54500;9.53;0.161
55000;9.57;0.163
55500;9.48;0.162
56000;9.94;0.163
56500;9.83;0.162
57000;10.01;0.167
57500;10.05;0.163
58000;9.81;0.164
58500;10.25;0.163
59000;10.26;0.163
59500;9.60;0.161
60000;9.72;0.162
60500;9.81;0.163
61000;9.73;0.163
61500;9.63;0.163
62000;9.67;0.163
62500;9.80;0.164
63000;9.87;0.163
63500;10.26;0.164
64000;9.85;0.163
64500;10.10;0.162
65000;10.00;0.163
65500;9.89;0.164
66000;9.70;0.163
66500;9.28;0.162
67000;9.46;0.163
67500;9.99;0.164
68000;10.31;0.164
68500;10.31;0.163
69000;10.07;0.163
69500;9.99;0.163
70000;10.11;0.161
70500;10.11;0.162
71000;9.63;0.162
71500;9.99;0.163
72000;9.69;0.164
72500;9.88;0.163
73000;9.66;0.164
73500;10.05;0.163
74000;10.31;0.164
74500;9.96;0.162
75000;10.10;0.161
75500;10.21;0.163
76000;10.06;0.162
76500;9.75;0.164
77000;9.85;0.163
77500;9.39;0.162
78000;9.50;0.162
78500;9.84;0.164
79000;10.27;0.164
79500;10.25;0.162
80000;10.15;0.164
80500;9.94;0.163
81000;10.18;0.163
81500;9.92;0.164
82000;9.81;0.163
82500;9.41;0.160
83000;9.46;0.163
83500;9.94;0.163
84000;9.81;0.163
84500;10.02;0.163
85000;9.97;0.163
85500;10.17;0.163
86000;10.20;0.163
86500;9.97;0.163
87000;9.89;0.162
87500;9.92;0.162
88000;9.61;0.163
88500;9.87;0.164
89000;9.69;0.162
89500;9.99;0.164
90000;10.11;0.164
90500;9.93;0.165
91000;10.11;0.163
91500;10.17;0.163
92000;10.00;0.164
92500;9.75;0.164
93000;9.37;0.163
93500;9.81;0.163
94000;9.87;0.164
94500;9.88;0.163
95000;9.95;0.163
95500;10.40;0.163
96000;9.93;0.163
96500;10.31;0.164
97000;10.13;0.162
97500;9.92;0.164
98000;9.87;0.164
98500;9.56;0.163
99000;9.82;0.165
99500;9.36;0.163
100000;9.94;0.163
100500;10.31;0.164
101000;9.99;0.164
101500;9.99;0.163
102000;10.03;0.163
102500;9.92;0.161
103000;9.65;0.163
103500;9.72;0.162
104000;9.86;0.163
104500;9.42;0.163
105000;10.04;0.163
105500;10.24;0.164
106000;10.31;0.164
106500;9.92;0.164
107000;9.93;0.163
107500;9.81;0.163
108000;10.28;0.163
108500;10.02;0.163
109000;9.39;0.163
109500;9.80;0.163
110000;9.66;0.164
110500;9.73;0.163
111000;10.03;0.163
111500;10.05;0.163
112000;10.12;0.163
112500;10.31;0.163
113000;10.31;0.163
113500;10.16;0.163
114000;10.09;0.163
114500;9.99;0.163
115000;9.48;0.163
115500;9.68;0.160
116000;9.86;0.162
116500;9.99;0.164
117000;9.98;0.162
117500;9.93;0.162
118000;10.31;0.163
118500;9.97;0.164
119000;10.20;0.164
119500;9.75;0.162
120000;9.98;0.163
120500;9.50;0.164
121000;9.67;0.164
121500;9.94;0.164
122000;9.86;0.164
122500;9.87;0.163
123000;10.17;0.163
123500;10.23;0.163
124000;9.98;0.163
124500;9.99;0.163
125000;10.11;0.164
125500;10.07;0.164
126000;9.60;0.163
126500;9.41;0.163
127000;9.63;0.163
127500;9.79;0.164
128000;10.04;0.163
128500;10.17;0.164
129000;9.96;0.162
129500;10.05;0.162
130000;10.24;0.162
130500;10.28;0.163
131000;10.13;0.163
131500;9.82;0.162
132000;9.66;0.162
132500;9.66;0.163
133000;9.90;0.168
133500;9.55;0.163
134000;10.20;0.163
134500;9.98;0.163
135000;10.13;0.164
135500;9.88;0.164
136000;10.27;0.163
136500;10.05;0.164
137000;9.94;0.163
137500;9.99;0.163
138000;9.52;0.163
138500;9.61;0.163
139000;9.87;0.163
139500;9.94;0.163
140000;10.10;0.163
140500;10.13;0.164
141000;9.97;0.162
141500;10.19;0.164
142000;10.14;0.164
142500;10.19;0.162
143000;10.11;0.163
143500;9.73;0.163
144000;9.73;0.163
144500;9.48;0.164
145000;9.80;0.164
145500;9.97;0.165
146000;9.92;0.163
146500;9.86;0.162
147000;9.97;0.163
147500;10.24;0.164
148000;9.97;0.165
148500;9.86;0.163
149000;9.91;0.164
149500;10.09;0.164
150000;10.21;0.162
150500;10.10;0.164
151000;9.44;0.162
151500;9.48;0.163
152000;9.92;0.163
152500;9.99;0.162
153000;10.18;0.161
153500;9.89;0.163
154000;10.21;0.163
154500;10.26;0.164
155000;10.22;0.162
155500;10.17;0.164
156000;10.14;0.163
156500;10.01;0.163
157000;9.54;0.162
157500;9.88;0.163
158000;9.82;0.164
158500;9.49;0.163
159000;9.56;0.163
159500;9.78;0.162
160000;9.94;0.163
160500;10.19;0.164
161000;9.95;0.163
161500;10.29;0.164
162000;10.29;0.164
162500;9.87;0.163
163000;9.73;0.164
163500;9.67;0.163
164000;9.99;0.163
164500;9.97;0.163
165000;10.05;0.163
165500;9.79;0.164
166000;9.87;0.163
166500;9.92;0.162
167000;9.98;0.163
167500;10.31;0.164
168000;9.97;0.159
168500;9.86;0.163
169000;9.59;0.163
169500;9.84;0.163
170000;9.73;0.162
170500;9.71;0.164
171000;9.87;0.163
171500;9.88;0.163
172000;10.12;0.163
172500;10.21;0.162
173000;10.19;0.164
173500;10.03;0.165
174000;9.80;0.163
174500;9.82;0.163
175000;10.25;0.163
175500;10.29;0.164
176000;10.18;0.162
176500;10.02;0.164
177000;10.19;0.163
177500;9.75;0.164
178000;10.18;0.164
178500;10.29;0.163
179000;10.12;0.162
179500;9.83;0.161
180000;9.63;0.162
180500;9.52;0.163
181000;9.86;0.163
181500;9.94;0.163
182000;9.79;0.163
182500;10.25;0.164
183000;10.07;0.162
183500;10.15;0.163
184000;9.85;0.162
184500;9.90;0.163
185000;9.86;0.163
185500;10.04;0.162
186000;9.95;0.164
186500;9.49;0.162
187000;9.73;0.163
187500;9.72;0.163
188000;9.51;0.163
188500;9.55;0.163
189000;9.97;0.163
189500;9.89;0.164
190000;9.85;0.162
190500;10.03;0.163
191000;10.20;0.163
191500;9.82;0.164
192000;10.25;0.163
192500;10.25;0.164
193000;10.25;0.163
193500;10.13;0.163
194000;10.31;0.164
194500;9.96;0.163
195000;10.12;0.164
195500;10.24;0.164
196000;10.05;0.163
196500;10.16;0.163
197000;10.16;0.163
197500;9.86;0.163
198000;10.16;0.163
198500;10.10;0.163
199000;10.08;0.163
199500;9.90;0.163
200000;9.97;0.163
200500;9.53;0.163
201000;9.82;0.163
201500;9.43;0.164
202000;9.84;0.163
202500;9.73;0.162
203000;9.60;0.163
203500;9.44;0.164
204000;9.49;0.163
204500;9.74;0.162
205000;9.77;0.164
205500;10.12;0.164
206000;10.05;0.165
206500;9.96;0.164
207000;10.29;0.165
207500;9.99;0.162
208000;10.25;0.163
208500;9.88;0.164
209000;10.13;0.166
209500;10.29;0.163
210000;10.26;0.164
210500;10.17;0.163
211000;9.73;0.164
211500;9.82;0.164
212000;9.67;0.163
212500;9.71;0.163
213000;9.48;0.162
213500;9.88;0.164
214000;9.45;0.163
214500;9.48;0.162
215000;9.67;0.164
215500;9.69;0.163
216000;9.90;0.163
216500;10.29;0.161
217000;10.29;0.164
217500;10.25;0.164
218000;10.27;0.163
218500;10.12;0.163
219000;9.99;0.163
219500;9.84;0.163
220000;10.00;0.163
220500;9.83;0.162
221000;9.73;0.163
221500;9.94;0.163
222000;9.51;0.167
222500;9.42;0.163
223000;9.52;0.164
223500;9.44;0.162
224000;9.91;0.164
224500;9.55;0.157
225000;9.45;0.164
225500;9.96;0.164
226000;9.61;0.162
226500;9.94;0.163
227000;9.63;0.163
227500;9.97;0.162
228000;10.23;0.163
228500;9.98;0.164
229000;9.86;0.163
229500;10.06;0.162
230000;10.21;0.163
230500;10.13;0.164
231000;9.85;0.163
231500;10.31;0.164
232000;10.06;0.163
232500;9.98;0.164
233000;9.92;0.164
233500;10.08;0.162
234000;9.57;0.163
234500;9.81;0.164
235000;9.64;0.163
235500;9.67;0.163
236000;9.84;0.163
236500;9.79;0.163
237000;9.51;0.163
237500;9.82;0.164
238000;10.20;0.163
238500;9.97;0.164
239000;10.14;0.163
239500;10.19;0.163
240000;10.30;0.163
240500;9.95;0.163
241000;10.27;0.164
241500;10.23;0.163
242000;10.08;0.163
242500;9.96;0.162
243000;9.61;0.164
243500;9.59;0.163
