Temps(ms);Tension(V);Courant(A)
0;10.21;1.16
500;10.00;1.20
1000;10.12;1.18
1500;10.17;1.21
2000;9.98;1.22
2500;9.85;1.19
3000;10.10;1.20
3500;9.79;1.23
4000;9.98;1.20
4500;9.76;1.21
5000;10.02;1.20
5500;9.92;1.19
6000;10.29;1.22
6500;10.17;1.22
7000;10.00;1.17
7500;9.75;1.18
8000;10.04;1.13
8500;9.68;1.10
9000;9.65;1.15
9500;9.89;1.22
10000;9.83;1.22
10500;9.86;1.21
11000;9.94;1.20
11500;9.95;1.21
12000;9.83;1.23
12500;9.80;1.18
13000;9.94;1.15
13500;9.71;1.08
14000;9.98;1.06
14500;9.91;1.06
15000;9.80;1.08
15500;10.00;1.19
16000;9.71;1.24
16500;10.25;1.24
17000;10.06;1.22
17500;10.18;1.24
18000;10.05;1.25
18500;9.84;1.24
19000;9.68;1.17
19500;9.95;1.10
20000;9.69;1.08
20500;9.48;1.05
21000;10.00;1.09
21500;9.89;1.06
22000;9.76;1.19
22500;10.15;1.22
23000;9.80;1.25
23500;9.85;1.25
24000;10.21;1.25
24500;10.07;1.23
25000;10.17;1.22
25500;10.06;1.14
26000;9.80;1.08
26500;9.47;1.05
27000;9.54;1.03
27500;9.53;1.03
28000;9.61;1.06
28500;10.21;1.20
29000;10.23;1.25
29500;9.78;1.26
30000;10.27;1.26
30500;9.92;1.24
31000;10.10;1.25
31500;10.12;1.24
32000;9.95;1.26
32500;10.01;1.23
33000;9.71;1.20
33500;9.77;1.10
34000;9.46;1.05
34500;9.72;1.06
35000;9.61;1.04
35500;9.91;1.12
36000;10.12;1.26
36500;10.02;1.24
37000;10.13;1.29
37500;9.93;1.26
38000;10.27;1.24
38500;9.79;1.26
39000;9.78;1.17
39500;9.54;1.05
40000;9.37;1.02
40500;9.84;0.99
41000;9.56;1.02
41500;9.65;1.09
42000;10.27;1.27
42500;9.86;1.26
43000;10.17;1.26
43500;10.13;1.25
44000;10.26;1.26
44500;10.10;1.25
45000;9.71;1.23
45500;9.58;1.14
46000;9.85;1.05
46500;9.40;1.04
47000;9.73;1.06
47500;10.07;1.18
48000;10.23;1.27
48500;9.86;1.26
49000;9.75;1.29
49500;9.92;1.28
50000;9.91;1.29
50500;9.80;1.26
51000;9.59;1.19
51500;9.75;1.10
52000;9.91;1.06
52500;9.88;1.07
53000;9.96;1.08
53500;9.92;1.13
54000;9.92;1.25
54500;10.12;1.26
55000;9.81;1.27
55500;10.18;1.28
56000;9.80;1.28
56500;9.80;1.27
57000;9.80;1.17
57500;9.60;1.08
58000;9.49;1.06
58500;9.42;1.04
59000;9.74;1.08
59500;9.75;1.22
60000;10.17;1.26
60500;10.13;1.29
61000;9.91;1.26
61500;10.31;1.27
62000;10.20;1.25
62500;9.78;1.22
63000;9.60;1.13
63500;9.88;1.02
64000;9.85;1.01
64500;9.81;1.00
65000;9.58;1.13
65500;10.25;1.28
66000;9.80;1.28
66500;10.12;1.25
67000;10.29;1.27
67500;10.00;1.26
68000;9.80;1.29
68500;9.83;1.30
69000;10.05;1.27
69500;10.01;1.17
70000;9.81;1.06
