Temps(ms);Tension(V);Vitesse(RPM);Courant(A)
0;7.50;0.00;0.25
500;10.20;258.00;0.09
1000;10.42;240.00;0.09
1500;10.21;240.00;0.08
2000;10.40;288.00;0.09
2500;9.97;300.00;0.08
3000;9.93;252.00;0.07
3500;10.31;240.00;0.09
4000;10.17;276.00;0.06
4500;10.31;300.00;0.06
5000;10.09;258.00;0.07
5500;9.92;234.00;0.07
6000;10.07;276.00;0.07
6500;9.95;300.00;0.05
7000;9.93;258.00;0.07
7500;10.05;240.00;0.06
8000;10.12;276.00;0.05
8500;9.97;300.00;0.06
9000;9.99;258.00;0.06
9500;10.03;240.00;0.07
10000;10.31;282.00;0.07
10500;10.31;300.00;0.08
11000;9.98;240.00;0.06
11500;10.18;252.00;0.07
12000;10.31;312.00;0.08
12500;10.27;276.00;0.06
13000;10.44;246.00;0.09
13500;10.47;288.00;0.07
14000;10.31;312.00;0.07
14500;10.00;240.00;0.07
15000;10.46;258.00;0.08
15500;9.99;312.00;0.08
16000;10.43;258.00;0.07
16500;10.12;234.00;0.07
17000;10.00;306.00;0.07
17500;10.12;282.00;0.07
18000;10.05;240.00;0.07
18500;10.25;288.00;0.06
19000;10.13;300.00;0.07
19500;10.05;234.00;0.08
20000;10.26;264.00;0.07
20500;10.53;324.00;0.06
21000;10.01;240.00;0.07
21500;10.50;252.00;0.07
22000;10.04;306.00;0.07
22500;10.51;258.00;0.05
23000;10.06;246.00;0.05
23500;10.55;312.00;0.07
24000;10.46;270.00;0.07
24500;10.06;228.00;0.06
25000;10.28;306.00;0.07
25500;10.49;288.00;0.07
26000;10.18;246.00;0.06
26500;10.19;288.00;0.05
27000;10.06;300.00;0.08
27500;10.01;246.00;0.07
28000;10.52;258.00;0.03
28500;10.28;306.00;0.05
29000;10.31;246.00;0.06
29500;10.31;252.00;0.07
30000;10.31;312.00;0.07
30500;10.00;252.00;0.07
31000;10.03;246.00;0.05
31500;9.99;306.00;0.06
32000;10.13;270.00;0.06
32500;10.44;228.00;0.08
33000;10.55;300.00;0.07
33500;10.44;288.00;0.07
34000;10.12;246.00;0.06
34500;10.31;294.00;0.06
35000;10.55;288.00;0.07
35500;10.06;240.00;0.08
36000;10.51;294.00;0.08
36500;10.31;300.00;0.07
37000;10.05;240.00;0.07
37500;10.25;264.00;0.06
38000;10.00;306.00;0.05
38500;10.43;240.00;0.09
39000;10.00;252.00;0.06
39500;10.09;312.00;0.07
40000;10.50;270.00;0.07
40500;9.98;240.00;0.06
41000;10.05;300.00;0.06
41500;10.12;294.00;0.06
42000;10.31;240.00;0.08
42500;10.09;270.00;0.05
43000;9.97;306.00;0.06
43500;10.07;258.00;0.07
44000;10.31;246.00;0.07
44500;10.31;306.00;0.06
45000;10.01;300.00;0.06
45500;10.31;246.00;0.07
46000;10.25;258.00;0.05
46500;10.00;312.00;0.06
47000;10.21;264.00;0.07
47500;9.98;240.00;0.05
48000;10.31;294.00;0.05
48500;10.18;300.00;0.06
49000;10.42;240.00;0.06
49500;10.27;258.00;0.04
50000;10.17;312.00;0.06
50500;10.12;264.00;0.08
51000;10.06;240.00;0.06
51500;10.31;300.00;0.05
