Temps(ms);Tension(V),
0;7,02
100;9,01
200;9,2
300;9,51
400;9,46
500;9,59
600;9,42
700;9,61
800;9,59
900;9,6
1000;9,21
1100;9,63
1200;9,55
1300;9,54
1400;9,59
1500;9,67
1600;9,24
1700;9,54
1800;9,2
1900;9,44
2000;9,63
2100;9,65
2200;9,46
2300;9,28
2400;9,42
2500;9,71
2600;9,42
2700;9,54
2800;9,18
2900;9,56
3000;9,66
3100;9,61
3200;9,72
3300;9,29
3400;9,23
3500;9,3
3600;9,43
3700;9,36
3800;9,21
3900;9,52
4000;9,65
4100;9,51
4200;9,22
4300;9,61
4400;9,22
4500;9,72
4600;9,19
4700;9,66
4800;9,22
4900;9,3
5000;9,59
5100;9,7
5200;9,65
5300;9,71
5400;9,71
5500;9,67
5600;9,26
5700;9,64
5800;9,22
5900;9,73
6000;9,26
6100;9,61
6200;9,53
6300;9,18
6400;9,37
6500;9,56
6600;9,65
6700;9,65
6800;9,62
6900;9,57
7000;9,6
7100;9,61
7200;9,66
7300;9,69
7400;9,46
7500;9,24
7600;9,37
7700;9,64
7800;9,6
7900;9,26
8000;9,55
8100;9,73
8200;9,66
8300;9,33
8400;9,39
8500;9,69
8600;9,54
8700;9,35
8800;9,7
8900;9,26
9000;9,67
9100;9,29
9200;9,61
9300;9,52
9400;9,45
9500;9,69
9600;9,55
9700;9,46
9800;9,56
9900;9,48
10000;9,69
10100;9,25
10200;9,65
10300;9,19
10400;9,74
10500;9,34
10600;9,67
10700;9,71
10800;9,39
10900;9,38
11000;9,75
11100;9,45
11200;9,35
11300;9,67
11400;9,65
11500;9,58
11600;9,22
11700;9,41
11800;9,58
11900;9,7
12000;9,69
12100;9,56
12200;9,57
12300;9,48
12400;9,56
12500;9,54
12600;9,67
12700;9,61
12800;9,69
12900;9,67
13000;9,72
13100;9,58
13200;9,41
13300;9,46
13400;9,35
13500;9,46
13600;9,26
13700;9,27
13800;9,35
13900;9,62
14000;9,62
14100;9,75
14200;9,68
14300;9,44
14400;9,43
14500;9,11
14600;9,41
14700;9,23
14800;9,22
14900;9,24
15000;9,22
15100;9,22
15200;9,23
15300;9,24
15400;9,32
15500;9,56
15600;9,74
15700;9,71
15800;9,46
15900;9,28
16000;9,46
16100;9,66
16200;9,71
16300;9,74
16400;9,61
16500;9,34
16600;9,31
16700;9,35
16800;9,61
16900;9,68
17000;9,7
17100;9,42
17200;9,23
17300;9,35
17400;9,62
17500;9,73
17600;9,31
17700;9,47
17800;9,75
17900;9,49
18000;9,24
18100;9,61
18200;9,71
18300;9,62
18400;9,35
18500;9,42
18600;9,7
18700;9,76
18800;9,28
18900;9,37
19000;9,67
19100;9,63
19200;9,44
19300;9,24
19400;9,22
19500;9,41
19600;9,32
19700;9,44
19800;9,56
19900;9,53
20000;9,63
20100;9,6
20200;9,66
20300;9,59
20400;9,7
20500;9,68
20600;9,59
20700;9,6
20800;9,31
20900;9,24
21000;9,38
21100;9,59
21200;9,61
21300;9,74
21400;9,67
21500;9,26
21600;9,36
21700;9,73
21800;9,45
21900;9,28
22000;9,49
22100;9,73
22200;9,73
22300;9,3
22400;9,28
22500;9,54
22600;9,74
22700;9,54
22800;9,48
22900;9,68
23000;9,23
23100;9,71
23200;9,33
23300;9,65
23400;9,7
23500;9,28
23600;9,73
23700;9,53
23800;9,48
23900;9,74
24000;9,22
24100;9,66
24200;9,26
24300;9,7
24400;9,54
24500;9,48
24600;9,73
24700;9,31
24800;9,61
24900;9,51
25000;9,57
25100;9,68
25200;9,28
25300;9,73
25400;9,42
25500;9,55
25600;9,45
25700;9,59
25800;9,64
25900;9,45
26000;9,67
26100;9,29
26200;9,73
26300;9,22
26400;9,72
26500;9,4
26600;9,63
26700;9,55
26800;9,66
26900;9,42
27000;9,64
27100;9,42
27200;9,65
27300;9,4
27400;9,71
27500;9,35
27600;9,65
27700;9,35
27800;9,75
27900;9,27
28000;9,73
28100;9,36
28200;9,55
28300;9,65
28400;9,22
28500;9,74
28600;9,57
28700;9,56
28800;9,71
28900;9,22
29000;9,71
29100;9,54
29200;9,4
29300;9,72
29400;9,46
29500;9,29
29600;9,76
29700;9,28
29800;9,73
29900;9,38
30000;9,44
30100;9,73
30200;9,24
30300;9,61
30400;9,65
30500;9,3
30600;9,73
30700;9,23
30800;9,7
30900;9,22
31000;9,73
31100;9,28
31200;9,71
31300;9,28
31400;9,63
31500;9,69
31600;9,19
31700;9,61
31800;9,66
31900;9,23
32000;9,37
32100;9,79
32200;9,65
32300;9,33
32400;9,69
32500;9,22
32600;9,69
32700;8,31
32800;9,63
32900;9,52
33000;9,46
33100;9,68
33200;9,2
33300;9,61
33400;9,68
33500;9,41
33600;9,35
33700;9,78
33800;9,62
33900;9,22
34000;9,35
34100;9,61
34200;9,73
34300;9,61
34400;9,24
34500;9,32
34600;9,7
34700;9,7
34800;9,35
34900;9,3
35000;9,62
35100;9,71
35200;9,53
35300;9,22
35400;9,75
35500;9,61
35600;9,3
35700;9,71
35800;9,63
35900;9,26
